101.3963666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111.788387,96.13806879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119.4320819,103.2407706,89.54233338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126.7828899,110.2314224,96.10592551,84.04005178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133.6610256,116.9539742,102.567656,90.1708635,79.48020805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139.8828136,123.2427247,108.7823841,96.20916302,85.270133,75.74665033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145.2678629,128.9281445,114.5957443,102.0185117,90.97627438,81.27676246,72.75205376,0,0,0,0,0,0,0,0,0,0,0,0,0
149.6467163,133.8434921,119.849557,107.453543,96.46899011,86.73139781,78.09562654,70.43360747,0,0,0,0,0,0,0,0,0,0,0,0
152.8685432,137.8318862,124.387995,112.3650439,101.6098897,91.98603209,83.37179726,75.65872016,68.7501037,0,0,0,0,0,0,0,0,0,0,0
154.8084071,140.7534373,128.0641946,116.6057651,106.2566573,96.90746164,88.45964459,80.82446293,73.92198695,67.68022128,0,0,0,0,0,0,0,0,0,0
155.373639,142.4920041,130.7469391,120.0366676,110.2685853,101.3584305,93.22952994,85.81211311,79.04268825,72.86347523,67.22188965,0,0,0,0,0,0,0,0,0
154.5088825,142.9611388,132.3270106,122.5332573,113.5125427,105.2029583,97.54758415,90.49408537,83.99434199,78.00410811,72.48269897,67.39270326,0,0,0,0,0,0,0,0
152.1994557,142.1088177,132.722799,123.9916224,115.869045,108.3121061,101.2808943,94.73832962,88.6499629,82.98378799,77.71006825,72.80117505,68.23143786,0,0,0,0,0,0,0
148.4727743,139.9206213,131.8847869,124.3337848,117.2380573,110.5698567,104.3031341,98.41343555,92.8778037,87.67468632,82.7838499,78.18629881,73.86419935,69.80080846,0,0,0,0,0,0
143.3977143,136.4211241,129.7985936,123.5120019,117.5441588,111.8787571,106.5003271,101.3941935,96.54643448,91.94384316,87.57389049,83.42469056,79.4849675,75.74402408,72.19171195,0,0,0,0,0
137.0819317,131.6733748,126.4863472,121.5117133,116.7407153,112.1649578,107.7763926,103.567304,99.53029582,95.65827733,91.94445116,88.38230089,84.96557949,81.68829818,78.54471569,75.52932803,0,0,0,0
129.6672996,125.7764777,122.006267,118.3529097,114.8127657,111.3823082,108.0581208,104.8368937,101.7154203,98.69059435,95.75940632,92.9189408,90.16637332,87.4989676,84.91407276,82.40912068,79.98162335,0,0,0
121.3237493,118.8614174,116.450462,114.089808,111.7784026,109.5152155,107.2992377,105.1294812,103.0049791,100.9247846,98.88797048,96.89362935,94.94087261,93.02883032,91.1566508,89.32350017,87.52856206,85.77103719,0,0
112.2419084,111.0853897,109.9410729,108.8088293,107.6885315,106.5800535,105.4832705,104.3980592,103.3242974,102.2618644,101.2106407,100.170508,99.14134919,98.12304862,97.11549167,96.11856501,95.13215647,94.15615509,93.19045105,0
102.625,102.625,102.625,102.625,102.625,102.625,102.625,102.625,102.625,102.625,102.625,102.625,102.625,102.625,102.625,102.625,102.625,102.625,102.625,102.625
